,Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Adj Close,QQQ_Volume,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Adj Close,IWM_Volume,unemployment_Actual,unemployment_Forecast,unemployment_Previous,Announcement_Day
36,2/23/2018,271.790009,274.709991,271.25,274.709991,247.674774,92766400,166.130005,168.169998,165.449997,168.169998,161.14772,50096900,152.979996,154.020004,152.149994,153.979996,142.064423,18065200,4.10%,4.10%,4.10%,FALSE
37,2/26/2018,275.929993,278.01001,275.26001,277.899994,250.550919,86491400,168.960007,170.399994,168.820007,170.399994,163.284607,39266700,154.529999,155.259995,153.470001,154.990005,142.996262,15267700,4.10%,4.10%,4.10%,FALSE
38,2/27/2018,278.109985,278.920013,274.359985,274.429993,247.422302,99099200,170.449997,170.729996,168.210007,168.289993,161.262726,42209900,155.179993,155.880005,152.75,152.759995,140.938843,18125500,4.10%,4.10%,4.10%,FALSE
39,2/28/2018,275.679993,276.190002,271.290009,271.649994,244.91597,121907800,169.25,169.800003,167.100006,167.210007,160.227844,42936300,153.139999,153.600006,150.309998,150.350006,138.715317,29951800,4.10%,4.10%,4.10%,FALSE
40,3/1/2018,271.410004,273.170013,266,267.700012,241.35466,176855100,167.300003,168.070007,163,164.479996,157.611832,76809900,150.050003,151.570007,148.380005,149.949997,138.346298,38943200,4.10%,4.10%,4.10%,FALSE
41,3/2/2018,265.799988,269.720001,264.820007,269.079987,242.598877,139083200,162.5,166.279999,161.960007,165.990005,159.058777,57445100,148.710007,152.75,148.399994,152.350006,140.560562,31842300,4.10%,4.10%,4.10%,FALSE
42,3/5/2018,267.730011,272.890015,267.609985,272.190002,245.40274,97307400,165.210007,168.259995,164.589996,167.830002,160.821915,38540200,151.820007,154.259995,151.470001,153.710007,141.815308,19603700,4.10%,4.10%,4.10%,FALSE
43,3/6/2018,273.299988,273.390015,271.179993,272.880005,246.024872,79213200,168.649994,169.110001,167.479996,168.539993,161.502319,29480900,154.429993,155.389999,152.800003,155.369995,143.346878,17304000,4.10%,4.10%,4.10%,FALSE
44,3/7/2018,270.420013,273.179993,270.200012,272.779999,245.934769,87063500,167.25,169.070007,166.960007,168.929993,161.876022,34609400,154.460007,156.929993,154.220001,156.740005,144.610855,22684600,4.10%,4.10%,4.10%,FALSE
45,3/8/2018,273.549988,274.23999,272.420013,274.100006,247.124847,66901200,169.630005,169.979996,168.949997,169.860001,162.767227,25828400,156.899994,157.470001,155.5,156.419998,144.315643,23391300,4.10%,4.10%,4.10%,FALSE
46,3/9/2018,275.700012,278.869995,275.339996,278.869995,251.425339,113625300,171.070007,173.160004,170.820007,173.160004,165.929321,38310500,157.309998,159,156.869995,158.919998,146.622131,24927200,4.10%,4.00%,4.10%,TRUE
47,3/12/2018,279.200012,279.910004,278.079987,278.519989,251.109848,71924800,173.669998,174.479996,173.279999,174.080002,166.810989,37635000,159.25,159.649994,158.490005,159.199997,146.880493,15310100,4.10%,4.00%,4.10%,FALSE
48,3/13/2018,279.839996,280.410004,276.029999,276.720001,249.487015,91968900,174.479996,175.210007,171.270004,171.710007,164.539917,55638900,160,160.300003,158.139999,158.460007,146.197754,17757200,4.10%,4.00%,4.10%,FALSE
49,3/14/2018,277.809998,278.019989,274.670013,275.299988,248.206711,105895100,172.610001,172.740005,170.929993,171.679993,164.511169,40536400,159.220001,159.389999,157.410004,157.710007,145.505814,18097500,4.10%,4.00%,4.10%,FALSE
50,3/15/2018,275.880005,276.609985,274.429993,275,247.936264,83433000,171.800003,172.529999,170.899994,171.529999,164.367477,28810400,158.100006,158.139999,156.369995,156.919998,144.776901,14172100,4.10%,4.00%,4.10%,FALSE
51,3/16/2018,274.5,275.390015,274.140015,274.200012,248.205078,100343700,171.820007,172.199997,170.940002,171.020004,163.878738,31176700,156.979996,158.270004,156.75,157.800003,145.588837,36000300,4.10%,4.00%,4.10%,FALSE
52,3/19/2018,273.350006,274.399994,268.619995,270.48999,244.846863,109208400,169.100006,169.220001,165.639999,167.100006,160.382187,71395100,157.169998,157.210007,154.449997,156.279999,144.186478,25663000,4.10%,4.00%,4.10%,FALSE
53,3/20/2018,270.940002,271.670013,270.179993,270.950012,245.263199,59757300,167.169998,168.039993,166.610001,167.649994,160.910049,34075700,156.669998,157.020004,155.770004,156.240005,144.149551,11418500,4.10%,4.00%,4.10%,FALSE
54,3/21/2018,270.899994,273.269989,270.190002,270.429993,244.792526,78709600,167.210007,168.759995,166.190002,166.919998,160.209442,43863500,156.320007,158.259995,156.199997,157.149994,144.98912,22213500,4.10%,4.00%,4.10%,FALSE
55,3/22/2018,267.910004,268.869995,263.359985,263.670013,238.673416,148785900,164.610001,165.770004,162.589996,162.800003,156.255035,66607300,155.660004,156.619995,153.309998,153.350006,141.80986,29774800,4.10%,4.00%,4.10%,FALSE
56,3/23/2018,264.170013,264.540009,257.829987,258.049988,233.586151,183534800,162.610001,163.300003,158.429993,158.509995,152.137573,80110400,153.559998,153.940002,150,150.050003,138.758194,35744100,4.10%,4.00%,4.10%,FALSE
57,3/26/2018,262.130005,265.429993,259.410004,265.109985,239.976852,141956100,161.720001,164.600006,159.160004,164.399994,157.790756,57481500,152.089996,153.380005,150.429993,153.330002,141.791336,28442400,4.10%,4.00%,4.10%,FALSE
58,3/27/2018,266.170013,266.769989,258.839996,260.600006,235.89447,129941400,165.619995,165.619995,157.679993,159.080002,152.684616,78889100,153.660004,153.699997,149.710007,150.360001,139.044891,32820600,4.10%,4.00%,4.10%,FALSE
59,3/28/2018,260.75,262.640015,258.579987,259.829987,235.197388,146452300,158.169998,159.779999,156.039993,157.25,150.928192,89369700,150.740005,151.350006,149.389999,150.309998,138.998627,26510900,4.10%,4.00%,4.10%,FALSE
60,3/29/2018,261.119995,265.26001,259.839996,263.149994,238.202591,111601600,158.100006,161.710007,156.630005,160.130005,153.692398,68692600,151.080002,153.100006,150.75,151.830002,140.404221,22617700,4.10%,4.00%,4.10%,FALSE
61,4/2/2018,262.549988,263.130005,254.669998,257.470001,233.061172,186286300,158.990005,159.740005,153.880005,155.509995,149.258102,85549400,151.520004,152.070007,147.179993,148.130005,136.982666,35040700,4.10%,4.00%,4.10%,FALSE
62,4/3/2018,258.869995,261.309998,256.839996,260.769989,236.048294,119956900,156.869995,157.919998,154.440002,157.259995,150.937744,64090000,149.020004,150.600006,148.300003,150.25,138.943115,29857800,4.10%,4.00%,4.10%,FALSE
63,4/4/2018,256.75,264.359985,256.600006,263.559998,238.573792,123715300,154.220001,160.229996,154.039993,159.740005,153.318039,65768700,148.5,152.580002,148.270004,152.160004,140.709412,29619700,4.10%,4.00%,4.10%,FALSE
64,4/5/2018,265.549988,266.640015,264.320007,265.640015,240.45665,82652600,161.330002,161.580002,159.479996,160.649994,154.191498,43054900,153.039993,153.610001,152.320007,153.419998,141.874588,17301600,4.10%,4.00%,4.10%,FALSE
65,4/6/2018,263.420013,265.109985,258,259.720001,235.09787,179521200,158.880005,160.460007,155.880005,156.630005,150.333145,59870900,152.369995,153.399994,149.149994,150.360001,139.044891,25762700,4.10%,4.00%,4.10%,TRUE
66,4/9/2018,261.369995,264.839996,259.940002,261,236.256516,105442900,157.979996,160.880005,157.460007,157.729996,151.388855,41810400,151.399994,152.600006,150.419998,150.539993,139.211334,18997000,4.10%,4.00%,4.10%,FALSE
67,4/10/2018,264.269989,266.040009,262.980011,265.149994,240.013107,103529000,160.210007,161.729996,159.070007,161.210007,154.728973,48296800,152.139999,153.949997,151.669998,153.380005,141.837601,23420000,4.10%,4.00%,4.10%,FALSE
68,4/11/2018,263.470001,265.640015,263.390015,263.76001,238.754883,91140200,160.199997,162,160.100006,160.279999,153.836411,41622100,152.779999,154.309998,152.630005,153.710007,142.142731,14884600,4.10%,4.00%,4.10%,FALSE
69,4/12/2018,265.26001,267,265.059998,265.929993,240.719055,68890500,161.25,162.770004,161.160004,162.210007,155.688812,30467900,154.429993,155.410004,153.929993,154.759995,143.113739,14413200,4.10%,4.00%,4.10%,FALSE
70,4/13/2018,267.410004,267.540009,264.01001,265.149994,240.013107,85079200,163.020004,163.259995,160.669998,161.369995,154.882538,44604900,155.289993,155.330002,153.509995,153.949997,142.3647,19813600,4.10%,4.00%,4.10%,FALSE
