Date,Open,High,Low,Close,Adj Close,Volume
3/12/2019,175.190002,176.139999,174.770004,175.690002,169.77626,33953500
3/13/2019,176.600006,177.929993,176.350006,177.009995,171.051788,42426100
3/14/2019,177.130005,177.339996,176.660004,176.710007,170.761917,23751500
3/15/2019,177.399994,178.880005,177.279999,178.350006,172.346695,38192000
3/18/2019,177.949997,178.990005,177.589996,178.449997,172.757172,32935100
3/19/2019,179.179993,180,178.289993,179.050003,173.338043,36893300
3/20/2019,179.059998,180.860001,178.240005,179.759995,174.02536,50105000
3/21/2019,179.220001,182.830002,179.199997,182.570007,176.745758,42428500
3/22/2019,181.779999,182.270004,178.369995,178.559998,172.863647,70794500
3/25/2019,177.910004,178.839996,176.929993,178.220001,172.534485,46336500
3/26/2019,179.600006,180.690002,178.139999,179.050003,173.338043,33248100
3/27/2019,179.320007,179.720001,176.600006,177.899994,172.224731,37096700
3/28/2019,178.360001,178.979996,177.240005,178.309998,172.621643,30368200
3/29/2019,179.690002,179.830002,178.589996,179.660004,173.928558,35205500
4/1/2019,181.509995,182.259995,180.770004,182.039993,176.232666,30969500
4/2/2019,182.240005,182.910004,181.779999,182.729996,176.90062,22645200
4/3/2019,183.759995,184.919998,183.210007,183.779999,177.91713,31633500
4/4/2019,183.830002,184.5,182.649994,183.710007,177.84935,28530800
4/5/2019,184.240005,184.770004,184.020004,184.660004,178.769058,25674700
4/8/2019,184.360001,185.279999,183.630005,185.130005,179.22406,22697500
4/9/2019,184.5,185.110001,184.089996,184.479996,178.594803,25631900
4/10/2019,184.720001,185.529999,184.520004,185.470001,179.553238,24563000
4/11/2019,185.779999,185.779999,184.690002,185.029999,179.127243,20654100
4/12/2019,185.850006,185.949997,185.059998,185.830002,179.901718,24989100
4/15/2019,185.839996,186.070007,184.619995,185.860001,179.930786,21073000
4/16/2019,186.539993,186.910004,185.929993,186.5,180.550323,27195700
4/17/2019,187.75,187.929993,186.600006,187.149994,181.179611,29651600
4/18/2019,187.460007,187.789993,186.289993,187.389999,181.411957,28580900
4/22/2019,186.570007,187.990005,186.429993,187.919998,181.925049,17936000
4/23/2019,188.399994,190.539993,188.130005,190.309998,184.238785,33665600
4/24/2019,190.470001,190.710007,189.649994,189.710007,183.657959,24977100
4/25/2019,191.130005,191.220001,189.449997,190.479996,184.403366,29517500
4/26/2019,190.179993,190.690002,188.589996,190.649994,184.567917,26359500
4/29/2019,190.649994,191.320007,190.339996,191.020004,184.926178,21716200
4/30/2019,189.479996,189.850006,188.210007,189.539993,183.493362,31495300
5/1/2019,190.779999,191.320007,188.800003,188.929993,182.902817,34797100
5/2/2019,188.869995,189.850006,186.869995,188.110001,182.108948,44110100
5/3/2019,189.669998,191.25,189.330002,191.110001,185.013275,30386200
5/6/2019,187.050003,190.199997,186.759995,189.940002,183.880615,38371800
5/7/2019,187.869995,188.669998,184.509995,186.240005,180.298645,58818100
5/8/2019,185.630005,187.169998,184.960007,185.770004,179.843643,37165300
5/9/2019,183.699997,185.410004,182.089996,184.770004,178.875549,55351700
5/10/2019,184.110001,185.889999,181.029999,185,179.098267,58526400
5/13/2019,180.289993,181.259995,178.059998,178.580002,172.88298,67185800
5/14/2019,179.520004,181.630005,178.860001,180.539993,174.780487,43360600
5/15/2019,179.350006,183.550003,179.309998,183.089996,177.249115,40944500
5/16/2019,183.169998,186.070007,182.949997,184.929993,179.030441,39281200
5/17/2019,183.100006,185.580002,182.880005,183.039993,177.200714,44702300
5/20/2019,180.490005,181.179993,179.339996,179.949997,174.20932,38608300
5/21/2019,181.5,182.330002,180.919998,181.830002,176.029343,31613800
5/22/2019,180.820007,182.070007,180.75,181.020004,175.245178,24332600
5/23/2019,178.940002,179.020004,177.139999,178.25,172.563538,45351300
5/24/2019,179.210007,179.850006,177.940002,178.160004,172.476471,25903300
5/28/2019,178.660004,179.660004,177.470001,177.490005,171.827759,24763800
5/29/2019,176.389999,177,175.089996,176.029999,170.414368,42178800
5/30/2019,176.5,177.270004,175.770004,176.770004,171.130783,30354800
5/31/2019,174.690002,175.289993,173.869995,173.949997,168.400696,45446200
6/3/2019,173.479996,173.949997,169.270004,170.119995,164.692871,75842300
6/4/2019,172.029999,174.970001,171.369995,174.910004,169.330093,47797800
6/5/2019,176.580002,176.610001,174.380005,176.210007,170.588623,34412700
6/6/2019,176.509995,178.039993,175.729996,177.610001,171.943954,29913200
6/7/2019,178.559998,181.770004,178.330002,181.039993,175.264526,45888300
6/10/2019,182.25,184.850006,182.210007,183.149994,177.307251,41385300
6/11/2019,185.059998,185.399994,182.779999,183.399994,177.54924,41260300
6/12/2019,182.899994,183.279999,182,182.339996,176.523056,27758100
6/13/2019,183.100006,183.869995,182.740005,183.419998,177.568573,23715800
6/14/2019,182.479996,183.110001,181.940002,182.639999,176.813492,22844100
6/17/2019,183.039993,184.25,182.839996,183.740005,177.878433,20379500
6/18/2019,185.910004,187.720001,185.429993,186.410004,180.463257,48177300
6/19/2019,186.660004,187.529999,185.570007,187.110001,181.140869,31672900
6/20/2019,189.720001,189.759995,187.160004,188.850006,182.825378,40922000
6/21/2019,188.630005,189.770004,188.169998,188.570007,182.554352,39980400
6/24/2019,188.529999,188.720001,188.059998,188.160004,182.56015,19375200
6/25/2019,188.029999,188.139999,184.649994,184.929993,179.426254,33921100
6/26/2019,186.160004,187.330002,185.490005,185.789993,180.260651,22595700
6/27/2019,186.460007,186.940002,185.990005,186.5,180.949539,19709200
6/28/2019,186.949997,187.149994,186.070007,186.740005,181.182419,21179200
7/1/2019,190.320007,190.570007,188.380005,189.259995,183.627411,31025600
7/2/2019,189.199997,190.029999,188.660004,190.009995,184.355087,18035800
7/3/2019,190.490005,191.440002,190.289993,191.440002,185.742538,15792100
7/5/2019,190.130005,191.399994,189.389999,191.050003,185.364151,21415600
7/8/2019,189.809998,189.869995,188.929993,189.710007,184.064011,17598800
7/9/2019,188.809998,190.899994,188.649994,190.660004,184.985794,19193500
7/10/2019,191.820007,193.089996,191.470001,192.559998,186.829208,28374500
7/11/2019,192.850006,193.339996,191.809998,192.419998,186.693359,23736100
7/12/2019,192.630005,193.539993,192.449997,193.529999,187.77037,20211900
7/15/2019,193.979996,194.190002,193.440002,194.149994,188.371887,15606100
7/16/2019,193.910004,194.089996,192.559998,193.149994,187.401657,20190900
7/17/2019,193.149994,193.490005,192.179993,192.199997,186.479904,16765100
7/18/2019,191.289993,192.789993,190.690002,192.419998,186.693359,28877000
7/19/2019,193.740005,193.830002,190.809998,191.009995,185.325317,29387900
7/22/2019,191.440002,192.940002,191.440002,192.529999,186.800079,18954900
7/23/2019,193.580002,193.809998,192.289993,193.789993,188.022552,23786700
7/24/2019,193.050003,195.160004,193.029999,195.149994,189.342087,20422900
7/25/2019,194.490005,194.520004,192.929993,193.300003,187.54715,23434700
7/26/2019,194.529999,195.550003,194.429993,195.289993,189.477936,20431200
7/29/2019,195.110001,195.179993,193.389999,194.619995,188.82785,20451700
7/30/2019,193.130005,194.539993,192.990005,193.779999,188.012894,18705000
7/31/2019,194.300003,194.429993,189.320007,191.100006,185.412628,41627500
8/1/2019,191.429993,194.979996,189.229996,190.149994,184.490891,63251600
8/2/2019,188.720001,188.990005,186.210007,187.350006,181.774246,55214000
8/5/2019,183.429993,183.509995,179.199997,180.729996,175.351257,75040000
8/6/2019,182.399994,183.800003,181.070007,183.259995,177.805954,41897200
8/7/2019,181.270004,184.509995,179.889999,184.25,178.766495,49990600
8/8/2019,185.080002,188.320007,184.570007,188.259995,182.65715,38418100
8/9/2019,187.360001,188,185.029999,186.490005,180.93988,33608900
8/12/2019,185.339996,185.899994,183.5,184.350006,178.863556,24642900
8/13/2019,184.190002,189.679993,184.020004,188.389999,182.783295,40241900
8/14/2019,185.360001,185.949997,182.419998,182.759995,177.320831,51000500
8/15/2019,183,183.589996,181.160004,182.550003,177.117081,36685000
8/16/2019,184.210007,185.949997,184.100006,185.479996,179.9599,32781400
8/19/2019,188.160004,188.830002,187.5,188.429993,182.822113,22494100
8/20/2019,187.960007,188.639999,186.919998,186.970001,181.405579,19902900
8/21/2019,188.610001,189.229996,187.960007,188.630005,183.016174,20418500
8/22/2019,188.979996,189.460007,186.539993,188.020004,182.424332,24243700
8/23/2019,186.740005,188.449997,181.559998,182.070007,176.651382,55372400
8/26/2019,184.139999,184.869995,183.080002,184.820007,179.31955,27598900
8/27/2019,186.110001,186.419998,183.710007,184.429993,178.941116,28012800
8/28/2019,183.830002,185.399994,182.910004,185.089996,179.581482,21792400
8/29/2019,187.389999,188.460007,186.679993,187.919998,182.327271,25358900
8/30/2019,188.929993,188.970001,186.410004,187.470001,181.890686,26319800
9/3/2019,186.220001,187.179993,185.029999,185.649994,180.124832,27964200
9/4/2019,187.440002,188.490005,186.899994,188.330002,182.725067,21592100
9/5/2019,190.410004,192.330002,190.339996,191.779999,186.072403,33932600
9/6/2019,192.100006,192.169998,191.169998,191.589996,185.888062,19487800
9/9/2019,192.190002,192.270004,190.220001,191.190002,185.499969,24407600
9/10/2019,190.160004,190.740005,188.910004,190.639999,184.966309,23744700
9/11/2019,191,192.529999,190.559998,192.429993,186.703049,25063600
9/12/2019,193.610001,194.710007,192.970001,193.229996,187.479248,28689900
9/13/2019,192.949997,193.399994,192.289993,192.539993,186.809784,27669800
9/16/2019,191.300003,192.080002,191.110001,191.679993,185.975388,20319000
9/17/2019,191.699997,192.600006,191.289993,192.600006,186.868011,20953400
9/18/2019,192.199997,192.600006,190.110001,192.520004,186.790405,29781300
9/19/2019,192.860001,194.039993,192.470001,192.839996,187.100845,26039400
9/20/2019,193.110001,193.309998,190.160004,190.800003,185.121536,29086100
9/23/2019,190.360001,191.070007,189.720001,190.5,185.203247,22485900
9/24/2019,191.369995,191.789993,187.149994,187.970001,182.743607,40820700
